"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"15486","1214.736184585","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=718178 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15487","1214.736775691","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=719626 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15488","1214.736880525","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=721074 Win=242304 Len=0 TSval=146467073 TSecr=3143615101"
"15489","1214.737507434","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=721074 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15490","1214.738072663","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=722522 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15491","1214.738107421","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=723970 Win=242304 Len=0 TSval=146467074 TSecr=3143615101"
"15492","1214.738716965","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=723970 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15493","1214.739358205","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=725418 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15494","1214.739389897","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=726866 Win=242304 Len=0 TSval=146467076 TSecr=3143615101"
"15495","1214.763829652","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=726866 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15496","1214.764542690","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=728314 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467049 [TCP segment of a reassembled PDU]"
"15497","1214.764585391","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=729762 Win=242304 Len=0 TSval=146467101 TSecr=3143615101"
"15498","1214.764676963","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=729762 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467049 [TCP segment of a reassembled PDU]"
"15499","1214.764689044","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=731210 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467050 [TCP segment of a reassembled PDU]"
"15500","1214.764701548","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=732658 Win=242304 Len=0 TSval=146467101 TSecr=3143615101"
"15501","1214.764715784","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=732658 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467050 [TCP segment of a reassembled PDU]"
"15502","1214.764774457","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=734106 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467050 [TCP segment of a reassembled PDU]"
"15503","1214.764830821","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=735554 Win=242688 Len=0 TSval=146467101 TSecr=3143615101"
"15504","1214.765051023","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=735554 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467053 [TCP segment of a reassembled PDU]"
"15505","1214.765759193","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=737002 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467053 [TCP segment of a reassembled PDU]"
"15506","1214.765875594","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=738450 Win=242688 Len=0 TSval=146467102 TSecr=3143615101"
"15507","1214.776197787","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=738450 Ack=1133 Win=64384 Len=1448 TSval=3143615141 TSecr=146467068 [TCP segment of a reassembled PDU]"
"15508","1214.776624533","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=739898 Ack=1133 Win=64384 Len=1448 TSval=3143615141 TSecr=146467068 [TCP segment of a reassembled PDU]"
"15509","1214.776699346","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=741346 Win=242688 Len=0 TSval=146467113 TSecr=3143615141"
"15510","1214.788336193","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=741346 Ack=1133 Win=64384 Len=1448 TSval=3143615141 TSecr=146467069 [TCP segment of a reassembled PDU]"
